T,psma,hlinucb,tsicf,gcl2c,glmucb
1360,53.710584,245.347532,268.352614,78.483118,250.984951
1380,54.135803,248.881613,272.241927,79.140315,254.418593
1400,54.579502,252.553199,276.179863,79.791653,257.786069
1420,55.001375,256.131139,280.043196,80.427860,261.191146
1440,55.454061,259.661513,283.790568,81.069399,264.553927
1460,55.854179,263.181366,287.670641,81.681982,267.842271
1480,56.281147,266.783666,291.627822,82.299359,271.160843
1500,56.680991,270.294711,295.545897,82.910480,274.498579
1520,57.077610,273.639640,299.494902,83.478251,277.789586
1540,57.437803,276.984343,303.392269,84.084076,281.149975
1560,57.822318,280.435002,307.401783,84.715122,284.535050
1580,58.209527,283.983624,311.487745,85.319941,287.947869
1600,58.582010,287.471054,315.553808,85.929908,291.309602
1620,59.001753,291.016848,319.532574,86.581776,294.759775
1640,59.400033,294.627217,323.563194,87.240927,298.204024
1660,59.792087,298.173364,327.548234,87.851795,301.615544
1680,60.179237,301.645893,331.426894,88.472739,304.975406
1700,60.596849,305.289236,335.546219,89.067401,308.378709
1720,60.976044,308.894954,339.550919,89.671690,311.735866
1740,61.348644,312.576087,343.550378,90.266375,315.128337
1760,61.677687,316.345570,347.693444,90.797578,318.553679
1780,62.021550,320.063247,351.657642,91.345902,322.072699
1800,62.353181,323.641573,355.735714,91.840847,325.476296
1820,62.740003,327.374804,359.832898,92.359042,328.944842
1840,63.132482,331.309823,363.885780,92.924360,332.387212
1860,63.520206,335.233682,367.963811,93.477717,335.944997
1880,63.871644,339.091826,371.960062,94.026957,339.518361
1900,64.263310,342.879827,375.896754,94.643711,343.126255
1920,64.651388,346.626374,380.030969,95.237500,346.709456
1940,65.037378,350.246453,384.054837,95.898138,350.222559
1960,65.443730,353.871750,388.079879,96.495086,353.664084
1980,65.837111,357.430606,392.100296,97.089871,357.073667
2000,66.235555,360.897827,396.087808,97.697631,360.522750
